time,temperature_2m,relative_humidity_2m
2025-09-03T00:00,16.7,88
2025-09-03T01:00,16.5,79
2025-09-03T02:00,15.9,78
2025-09-03T03:00,15.6,78
2025-09-03T04:00,15.2,82
2025-09-03T05:00,15.0,80
2025-09-03T06:00,14.9,79
2025-09-03T07:00,15.2,82
2025-09-03T08:00,16.2,89
2025-09-03T09:00,17.5,87
2025-09-03T10:00,17.5,78
2025-09-03T11:00,19.9,76
2025-09-03T12:00,19.1,79
2025-09-03T13:00,19.3,76
2025-09-03T14:00,19.4,81
2025-09-03T15:00,20.3,76
2025-09-03T16:00,21.7,71
2025-09-03T17:00,20.7,72
2025-09-03T18:00,19.4,92
2025-09-03T19:00,18.0,88
2025-09-03T20:00,17.4,85
2025-09-03T21:00,16.0,77
2025-09-03T22:00,15.2,75
2025-09-03T23:00,14.1,78
2025-09-04T00:00,12.9,80
2025-09-04T01:00,12.2,76
2025-09-04T02:00,11.4,79
2025-09-04T03:00,10.7,81
2025-09-04T04:00,9.9,82
2025-09-04T05:00,9.2,82
2025-09-04T06:00,8.6,82
2025-09-04T07:00,8.5,83
2025-09-04T08:00,10.1,79
2025-09-04T09:00,11.1,72
2025-09-04T10:00,12.8,61
2025-09-04T11:00,13.4,59
2025-09-04T12:00,13.6,59
2025-09-04T13:00,14.7,59
2025-09-04T14:00,15.3,59
2025-09-04T15:00,16.3,56
2025-09-04T16:00,17.1,51
2025-09-04T17:00,16.9,52
2025-09-04T18:00,16.6,58
2025-09-04T19:00,14.5,58
2025-09-04T20:00,13.0,60
2025-09-04T21:00,11.9,68
2025-09-04T22:00,11.4,68
2025-09-04T23:00,10.9,70
2025-09-05T00:00,10.8,74
2025-09-05T01:00,10.8,72
2025-09-05T02:00,10.9,68
2025-09-05T03:00,12.0,67
2025-09-05T04:00,12.5,64
2025-09-05T05:00,12.5,62
2025-09-05T06:00,12.4,64
2025-09-05T07:00,12.6,66
2025-09-05T08:00,14.3,57
2025-09-05T09:00,13.8,55
2025-09-05T10:00,14.4,52
2025-09-05T11:00,15.7,50
2025-09-05T12:00,16.2,48
2025-09-05T13:00,17.2,44
2025-09-05T14:00,17.7,41
2025-09-05T15:00,17.5,41
2025-09-05T16:00,16.9,42
2025-09-05T17:00,15.7,45
2025-09-05T18:00,15.4,48
2025-09-05T19:00,14.6,51
2025-09-05T20:00,13.6,54
2025-09-05T21:00,13.5,54
2025-09-05T22:00,13.1,55
2025-09-05T23:00,13.0,56
